Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2)
281.50,473141.02,772.86,10000.00,0.00,0.00,0.00,0.00
281.60,473218.22,772.01,10000.00,0.00,0.00,0.00,0.00
281.70,473295.33,771.16,10000.00,0.00,0.00,0.00,0.00
281.80,473372.37,770.31,10000.00,0.00,0.00,0.00,0.00
281.90,473449.31,769.46,10000.00,0.00,0.00,0.00,0.00
282.00,473526.17,768.61,10000.00,0.00,0.00,0.00,0.00
282.10,473602.95,767.76,10000.00,0.00,0.00,0.00,0.00
282.20,473679.64,766.91,10000.00,0.00,0.00,0.00,0.00
282.30,473756.24,766.06,10000.00,0.00,0.00,0.00,0.00
282.40,473832.76,765.20,10000.00,0.00,0.00,0.00,0.00
282.50,473909.20,764.35,10000.00,0.00,0.00,0.00,0.00
282.60,473985.55,763.50,10000.00,0.00,0.00,0.00,0.00
282.70,474061.82,762.65,10000.00,0.00,0.00,0.00,0.00
282.80,474138.00,761.80,10000.00,0.00,0.00,0.00,0.00
282.90,474214.09,760.95,10000.00,0.00,0.00,0.00,0.00
283.00,474290.10,760.10,10000.00,0.00,0.00,0.00,0.00
283.10,474366.03,759.25,10000.00,0.00,0.00,0.00,0.00
283.20,474441.87,758.40,10000.00,0.00,0.00,0.00,0.00
283.30,474517.62,757.55,10000.00,0.00,0.00,0.00,0.00
283.40,474593.29,756.70,10000.00,0.00,0.00,0.00,0.00
283.50,474668.88,755.85,10000.00,0.00,0.00,0.00,0.00
283.60,474744.38,755.00,10000.00,0.00,0.00,0.00,0.00
283.70,474819.79,754.15,10000.00,0.00,0.00,0.00,0.00
283.80,474895.12,753.30,10000.00,0.00,0.00,0.00,0.00
283.90,474970.36,752.45,10000.00,0.00,0.00,0.00,0.00
284.00,475045.52,751.60,10000.00,0.00,0.00,0.00,0.00
284.10,475120.60,750.74,10000.00,0.00,0.00,0.00,0.00
284.20,475195.59,749.89,10000.00,0.00,0.00,0.00,0.00
284.30,475270.49,749.04,10000.00,0.00,0.00,0.00,0.00
284.40,475345.31,748.19,10000.00,0.00,0.00,0.00,0.00
284.50,475420.05,747.34,10000.00,0.00,0.00,0.00,0.00
284.60,475494.69,746.49,10000.00,0.00,0.00,0.00,0.00
284.70,475569.26,745.64,10000.00,0.00,0.00,0.00,0.00
284.80,475643.74,744.79,10000.00,0.00,0.00,0.00,0.00
284.90,475718.13,743.94,10000.00,0.00,0.00,0.00,0.00
285.00,475792.44,743.09,10000.00,0.00,0.00,0.00,0.00
285.10,475866.67,742.24,10000.00,0.00,0.00,0.00,0.00
285.20,475940.80,741.39,10000.00,0.00,0.00,0.00,0.00
285.30,476014.86,740.54,10000.00,0.00,0.00,0.00,0.00
285.40,476088.83,739.69,10000.00,0.00,0.00,0.00,0.00
285.50,476162.71,738.84,10000.00,0.00,0.00,0.00,0.00
285.60,476236.51,737.99,10000.00,0.00,0.00,0.00,0.00
285.70,476310.23,737.14,10000.00,0.00,0.00,0.00,0.00
285.80,476383.85,736.29,10000.00,0.00,0.00,0.00,0.00
285.90,476457.40,735.44,10000.00,0.00,0.00,0.00,0.00
286.00,476530.86,734.59,10000.00,0.00,0.00,0.00,0.00
286.10,476604.23,733.74,10000.00,0.00,0.00,0.00,0.00
286.20,476677.52,732.89,10000.00,0.00,0.00,0.00,0.00
286.30,476750.72,732.04,10000.00,0.00,0.00,0.00,0.00
286.40,476823.84,731.19,10000.00,0.00,0.00,0.00,0.00
286.50,476896.88,730.34,10000.00,0.00,0.00,0.00,0.00
286.60,476969.83,729.49,10000.00,0.00,0.00,0.00,0.00
286.70,477042.69,728.64,10000.00,0.00,0.00,0.00,0.00
286.80,477115.47,727.79,10000.00,0.00,0.00,0.00,0.00
286.90,477188.16,726.94,10000.00,0.00,0.00,0.00,0.00
287.00,477260.77,726.09,10000.00,0.00,0.00,0.00,0.00
287.10,477333.30,725.24,10000.00,0.00,0.00,0.00,0.00
287.20,477405.73,724.39,10000.00,0.00,0.00,0.00,0.00
287.30,477478.09,723.54,10000.00,0.00,0.00,0.00,0.00
287.40,477550.36,722.69,10000.00,0.00,0.00,0.00,0.00
287.50,477622.54,721.84,10000.00,0.00,0.00,0.00,0.00
287.60,477694.64,720.99,10000.00,0.00,0.00,0.00,0.00
287.70,477766.66,720.14,10000.00,0.00,0.00,0.00,0.00
287.80,477838.58,719.29,10000.00,0.00,0.00,0.00,0.00
287.90,477910.43,718.44,10000.00,0.00,0.00,0.00,0.00
288.00,477982.19,717.59,10000.00,0.00,0.00,0.00,0.00
288.10,478053.86,716.74,10000.00,0.00,0.00,0.00,0.00
288.20,478125.45,715.89,10000.00,0.00,0.00,0.00,0.00
288.30,478196.96,715.04,10000.00,0.00,0.00,0.00,0.00
288.40,478268.37,714.19,10000.00,0.00,0.00,0.00,0.00
288.50,478339.71,713.34,10000.00,0.00,0.00,0.00,0.00
288.60,478410.96,712.49,10000.00,0.00,0.00,0.00,0.00
288.70,478482.12,711.64,10000.00,0.00,0.00,0.00,0.00
288.80,478553.20,710.79,10000.00,0.00,0.00,0.00,0.00
288.90,478624.20,709.94,10000.00,0.00,0.00,0.00,0.00
289.00,478695.11,709.10,10000.00,0.00,0.00,0.00,0.00
289.10,478765.93,708.25,10000.00,0.00,0.00,0.00,0.00
289.20,478836.67,707.40,10000.00,0.00,0.00,0.00,0.00
289.30,478907.33,706.55,10000.00,0.00,0.00,0.00,0.00
289.40,478977.89,705.70,10000.00,0.00,0.00,0.00,0.00
289.50,479048.38,704.85,10000.00,0.00,0.00,0.00,0.00
289.60,479118.78,704.00,10000.00,0.00,0.00,0.00,0.00
289.70,479189.09,703.15,10000.00,0.00,0.00,0.00,0.00
289.80,479259.32,702.30,10000.00,0.00,0.00,0.00,0.00
289.90,479329.47,701.45,10000.00,0.00,0.00,0.00,0.00
290.00,479399.53,700.60,10000.00,0.00,0.00,0.00,0.00
290.10,479469.50,699.75,10000.00,0.00,0.00,0.00,0.00
290.20,479539.39,698.90,10000.00,0.00,0.00,0.00,0.00
290.30,479609.20,698.05,10000.00,0.00,0.00,0.00,0.00
290.40,479678.92,697.20,10000.00,0.00,0.00,0.00,0.00
290.50,479748.56,696.35,10000.00,0.00,0.00,0.00,0.00
290.60,479818.11,695.50,10000.00,0.00,0.00,0.00,0.00
290.70,479887.57,694.66,10000.00,0.00,0.00,0.00,0.00
290.80,479956.95,693.81,10000.00,0.00,0.00,0.00,0.00
290.90,480026.25,692.96,10000.00,0.00,0.00,0.00,0.00
291.00,480095.46,692.11,10000.00,0.00,0.00,0.00,0.00
291.10,480164.58,691.26,10000.00,0.00,0.00,0.00,0.00
291.20,480233.63,690.41,10000.00,0.00,0.00,0.00,0.00
291.30,480302.58,689.56,10000.00,0.00,0.00,0.00,0.00
291.40,480371.45,688.71,10000.00,0.00,0.00,0.00,0.00
291.50,480440.24,687.86,10000.00,0.00,0.00,0.00,0.00
291.60,480508.94,687.01,10000.00,0.00,0.00,0.00,0.00
291.70,480577.56,686.16,10000.00,0.00,0.00,0.00,0.00
291.80,480646.09,685.31,10000.00,0.00,0.00,0.00,0.00
291.90,480714.54,684.47,10000.00,0.00,0.00,0.00,0.00
292.00,480782.90,683.62,10000.00,0.00,0.00,0.00,0.00
292.10,480851.17,682.77,10000.00,0.00,0.00,0.00,0.00
292.20,480919.37,681.92,10000.00,0.00,0.00,0.00,0.00
292.30,480987.47,681.07,10000.00,0.00,0.00,0.00,0.00
292.40,481055.49,680.22,10000.00,0.00,0.00,0.00,0.00
292.50,481123.43,679.37,10000.00,0.00,0.00,0.00,0.00
292.60,481191.28,678.52,10000.00,0.00,0.00,0.00,0.00
292.70,481259.05,677.67,10000.00,0.00,0.00,0.00,0.00
292.80,481326.73,676.83,10000.00,0.00,0.00,0.00,0.00
292.90,481394.33,675.98,10000.00,0.00,0.00,0.00,0.00
293.00,481461.84,675.13,10000.00,0.00,0.00,0.00,0.00
293.10,481529.27,674.28,10000.00,0.00,0.00,0.00,0.00
293.20,481596.62,673.43,10000.00,0.00,0.00,0.00,0.00
293.30,481663.87,672.58,10000.00,0.00,0.00,0.00,0.00
293.40,481731.05,671.73,10000.00,0.00,0.00,0.00,0.00
293.50,481798.13,670.88,10000.00,0.00,0.00,0.00,0.00
293.60,481865.14,670.03,10000.00,0.00,0.00,0.00,0.00
293.70,481932.06,669.19,10000.00,0.00,0.00,0.00,0.00
293.80,481998.89,668.34,10000.00,0.00,0.00,0.00,0.00
293.90,482065.64,667.49,10000.00,0.00,0.00,0.00,0.00
294.00,482132.30,666.64,10000.00,0.00,0.00,0.00,0.00
294.10,482198.88,665.79,10000.00,0.00,0.00,0.00,0.00
294.20,482265.38,664.94,10000.00,0.00,0.00,0.00,0.00
294.30,482331.79,664.09,10000.00,0.00,0.00,0.00,0.00
294.40,482398.11,663.24,10000.00,0.00,0.00,0.00,0.00
294.50,482464.35,662.40,10000.00,0.00,0.00,0.00,0.00
294.60,482530.50,661.55,10000.00,0.00,0.00,0.00,0.00
294.70,482596.57,660.70,10000.00,0.00,0.00,0.00,0.00
294.80,482662.56,659.85,10000.00,0.00,0.00,0.00,0.00
294.90,482728.46,659.00,10000.00,0.00,0.00,0.00,0.00
295.00,482794.28,658.15,10000.00,0.00,0.00,0.00,0.00
295.10,482860.01,657.30,10000.00,0.00,0.00,0.00,0.00
295.20,482925.65,656.46,10000.00,0.00,0.00,0.00,0.00
295.30,482991.21,655.61,10000.00,0.00,0.00,0.00,0.00
295.40,483056.69,654.76,10000.00,0.00,0.00,0.00,0.00
295.50,483122.08,653.91,10000.00,0.00,0.00,0.00,0.00
295.60,483187.39,653.06,10000.00,0.00,0.00,0.00,0.00
295.70,483252.61,652.21,10000.00,0.00,0.00,0.00,0.00
295.80,483317.74,651.37,10000.00,0.00,0.00,0.00,0.00
295.90,483382.80,650.52,10000.00,0.00,0.00,0.00,0.00
296.00,483447.76,649.67,10000.00,0.00,0.00,0.00,0.00
296.10,483512.64,648.82,10000.00,0.00,0.00,0.00,0.00
296.20,483577.44,647.97,10000.00,0.00,0.00,0.00,0.00
296.30,483642.15,647.12,10000.00,0.00,0.00,0.00,0.00
296.40,483706.78,646.28,10000.00,0.00,0.00,0.00,0.00
296.50,483771.32,645.43,10000.00,0.00,0.00,0.00,0.00
296.60,483835.78,644.58,10000.00,0.00,0.00,0.00,0.00
296.70,483900.16,643.73,10000.00,0.00,0.00,0.00,0.00
296.80,483964.44,642.88,10000.00,0.00,0.00,0.00,0.00
296.90,484028.65,642.03,10000.00,0.00,0.00,0.00,0.00
297.00,484092.77,641.19,10000.00,0.00,0.00,0.00,0.00
297.10,484156.80,640.34,10000.00,0.00,0.00,0.00,0.00
297.20,484220.75,639.49,10000.00,0.00,0.00,0.00,0.00
297.30,484284.61,638.64,10000.00,0.00,0.00,0.00,0.00
297.40,484348.39,637.79,10000.00,0.00,0.00,0.00,0.00
297.50,484412.09,636.95,10000.00,0.00,0.00,0.00,0.00
297.60,484475.70,636.10,10000.00,0.00,0.00,0.00,0.00
297.70,484539.22,635.25,10000.00,0.00,0.00,0.00,0.00
297.80,484602.66,634.40,10000.00,0.00,0.00,0.00,0.00
297.90,484666.02,633.55,10000.00,0.00,0.00,0.00,0.00
298.00,484729.29,632.70,10000.00,0.00,0.00,0.00,0.00
298.10,484792.47,631.86,10000.00,0.00,0.00,0.00,0.00
298.20,484855.57,631.01,10000.00,0.00,0.00,0.00,0.00
298.30,484918.59,630.16,10000.00,0.00,0.00,0.00,0.00
298.40,484981.52,629.31,10000.00,0.00,0.00,0.00,0.00
298.50,485044.37,628.46,10000.00,0.00,0.00,0.00,0.00
298.60,485107.13,627.62,10000.00,0.00,0.00,0.00,0.00
298.70,485169.81,626.77,10000.00,0.00,0.00,0.00,0.00
298.80,485232.40,625.92,10000.00,0.00,0.00,0.00,0.00
298.90,485294.91,625.07,10000.00,0.00,0.00,0.00,0.00
299.00,485357.33,624.23,10000.00,0.00,0.00,0.00,0.00
299.10,485419.67,623.38,10000.00,0.00,0.00,0.00,0.00
299.20,485481.92,622.53,10000.00,0.00,0.00,0.00,0.00
299.30,485544.09,621.68,10000.00,0.00,0.00,0.00,0.00
299.40,485606.17,620.83,10000.00,0.00,0.00,0.00,0.00
299.50,485668.17,619.99,10000.00,0.00,0.00,0.00,0.00
299.60,485730.08,619.14,10000.00,0.00,0.00,0.00,0.00
299.70,485791.91,618.29,10000.00,0.00,0.00,0.00,0.00
299.80,485853.66,617.44,10000.00,0.00,0.00,0.00,0.00
299.90,485915.31,616.59,10000.00,0.00,0.00,0.00,0.00
300.00,485976.89,615.75,10000.00,0.00,0.00,0.00,0.00
300.10,486038.38,614.90,10000.00,0.00,0.00,0.00,0.00
300.20,486099.78,614.05,10000.00,0.00,0.00,0.00,0.00
300.30,486161.10,613.20,10000.00,0.00,0.00,0.00,0.00
300.40,486222.34,612.36,10000.00,0.00,0.00,0.00,0.00
300.50,486283.49,611.51,10000.00,0.00,0.00,0.00,0.00
300.60,486344.56,610.66,10000.00,0.00,0.00,0.00,0.00
300.70,486405.54,609.81,10000.00,0.00,0.00,0.00,0.00
300.80,486466.44,608.97,10000.00,0.00,0.00,0.00,0.00
300.90,486527.25,608.12,10000.00,0.00,0.00,0.00,0.00
301.00,486587.97,607.27,10000.00,0.00,0.00,0.00,0.00
301.10,486648.62,606.42,10000.00,0.00,0.00,0.00,0.00
301.20,486709.17,605.58,10000.00,0.00,0.00,0.00,0.00
301.30,486769.65,604.73,10000.00,0.00,0.00,0.00,0.00
301.40,486830.03,603.88,10000.00,0.00,0.00,0.00,0.00
301.50,486890.34,603.03,10000.00,0.00,0.00,0.00,0.00
301.60,486950.56,602.18,10000.00,0.00,0.00,0.00,0.00
301.70,487010.69,601.34,10000.00,0.00,0.00,0.00,0.00
301.80,487070.74,600.49,10000.00,0.00,0.00,0.00,0.00
301.90,487130.70,599.64,10000.00,0.00,0.00,0.00,0.00
302.00,487190.58,598.80,10000.00,0.00,0.00,0.00,0.00
302.10,487250.38,597.95,10000.00,0.00,0.00,0.00,0.00
302.20,487310.09,597.10,10000.00,0.00,0.00,0.00,0.00
302.30,487369.71,596.25,10000.00,0.00,0.00,0.00,0.00
302.40,487429.25,595.41,10000.00,0.00,0.00,0.00,0.00
302.50,487488.71,594.56,10000.00,0.00,0.00,0.00,0.00
302.60,487548.08,593.71,10000.00,0.00,0.00,0.00,0.00
302.70,487607.37,592.86,10000.00,0.00,0.00,0.00,0.00
302.80,487666.57,592.02,10000.00,0.00,0.00,0.00,0.00
302.90,487725.68,591.17,10000.00,0.00,0.00,0.00,0.00
303.00,487784.72,590.32,10000.00,0.00,0.00,0.00,0.00
303.10,487843.66,589.47,10000.00,0.00,0.00,0.00,0.00
303.20,487902.53,588.63,10000.00,0.00,0.00,0.00,0.00
303.30,487961.31,587.78,10000.00,0.00,0.00,0.00,0.00
303.40,488020.00,586.93,10000.00,0.00,0.00,0.00,0.00
303.50,488078.61,586.09,10000.00,0.00,0.00,0.00,0.00
303.60,488137.13,585.24,10000.00,0.00,0.00,0.00,0.00
303.70,488195.57,584.39,10000.00,0.00,0.00,0.00,0.00
303.80,488253.92,583.54,10000.00,0.00,0.00,0.00,0.00
303.90,488312.19,582.70,10000.00,0.00,0.00,0.00,0.00
304.00,488370.38,581.85,10000.00,0.00,0.00,0.00,0.00
304.10,488428.48,581.00,10000.00,0.00,0.00,0.00,0.00
304.20,488486.49,580.15,10000.00,0.00,0.00,0.00,0.00
304.30,488544.43,579.31,10000.00,0.00,0.00,0.00,0.00
304.40,488602.27,578.46,10000.00,0.00,0.00,0.00,0.00
304.50,488660.03,577.61,10000.00,0.00,0.00,0.00,0.00
304.60,488717.71,576.77,10000.00,0.00,0.00,0.00,0.00
304.70,488775.30,575.92,10000.00,0.00,0.00,0.00,0.00
304.80,488832.81,575.07,10000.00,0.00,0.00,0.00,0.00
304.90,488890.23,574.23,10000.00,0.00,0.00,0.00,0.00
305.00,488947.57,573.38,10000.00,0.00,0.00,0.00,0.00
305.10,489004.82,572.53,10000.00,0.00,0.00,0.00,0.00
305.20,489061.99,571.68,10000.00,0.00,0.00,0.00,0.00
305.30,489119.07,570.84,10000.00,0.00,0.00,0.00,0.00
305.40,489176.07,569.99,10000.00,0.00,0.00,0.00,0.00
305.50,489232.99,569.14,10000.00,0.00,0.00,0.00,0.00
305.60,489289.82,568.30,10000.00,0.00,0.00,0.00,0.00
305.70,489346.56,567.45,10000.00,0.00,0.00,0.00,0.00
305.80,489403.22,566.60,10000.00,0.00,0.00,0.00,0.00
305.90,489459.80,565.76,10000.00,0.00,0.00,0.00,0.00
306.00,489516.29,564.91,10000.00,0.00,0.00,0.00,0.00
306.10,489572.69,564.06,10000.00,0.00,0.00,0.00,0.00
306.20,489629.02,563.22,10000.00,0.00,0.00,0.00,0.00
306.30,489685.25,562.37,10000.00,0.00,0.00,0.00,0.00
306.40,489741.41,561.52,10000.00,0.00,0.00,0.00,0.00
306.50,489797.47,560.67,10000.00,0.00,0.00,0.00,0.00
306.60,489853.46,559.83,10000.00,0.00,0.00,0.00,0.00
306.70,489909.35,558.98,10000.00,0.00,0.00,0.00,0.00
306.80,489965.17,558.13,10000.00,0.00,0.00,0.00,0.00
306.90,490020.90,557.29,10000.00,0.00,0.00,0.00,0.00
307.00,490076.54,556.44,10000.00,0.00,0.00,0.00,0.00
307.10,490132.10,555.59,10000.00,0.00,0.00,0.00,0.00
307.20,490187.57,554.75,10000.00,0.00,0.00,0.00,0.00
307.30,490242.96,553.90,10000.00,0.00,0.00,0.00,0.00
307.40,490298.27,553.05,10000.00,0.00,0.00,0.00,0.00
307.50,490353.49,552.21,10000.00,0.00,0.00,0.00,0.00
307.60,490408.63,551.36,10000.00,0.00,0.00,0.00,0.00
307.70,490463.68,550.51,10000.00,0.00,0.00,0.00,0.00
307.80,490518.64,549.67,10000.00,0.00,0.00,0.00,0.00
307.90,490573.53,548.82,10000.00,0.00,0.00,0.00,0.00
308.00,490628.32,547.97,10000.00,0.00,0.00,0.00,0.00
308.10,490683.04,547.13,10000.00,0.00,0.00,0.00,0.00
308.20,490737.67,546.28,10000.00,0.00,0.00,0.00,0.00
308.30,490792.21,545.43,10000.00,0.00,0.00,0.00,0.00
308.40,490846.67,544.59,10000.00,0.00,0.00,0.00,0.00
308.50,490901.04,543.74,10000.00,0.00,0.00,0.00,0.00
308.60,490955.33,542.90,10000.00,0.00,0.00,0.00,0.00
308.70,491009.54,542.05,10000.00,0.00,0.00,0.00,0.00
308.80,491063.66,541.20,10000.00,0.00,0.00,0.00,0.00
308.90,491117.69,540.36,10000.00,0.00,0.00,0.00,0.00
309.00,491171.64,539.51,10000.00,0.00,0.00,0.00,0.00
309.10,491225.51,538.66,10000.00,0.00,0.00,0.00,0.00
309.20,491279.29,537.82,10000.00,0.00,0.00,0.00,0.00
309.30,491332.99,536.97,10000.00,0.00,0.00,0.00,0.00
309.40,491386.60,536.12,10000.00,0.00,0.00,0.00,0.00
309.50,491440.13,535.28,10000.00,0.00,0.00,0.00,0.00
309.60,491493.57,534.43,10000.00,0.00,0.00,0.00,0.00
309.70,491546.93,533.58,10000.00,0.00,0.00,0.00,0.00
309.80,491600.20,532.74,10000.00,0.00,0.00,0.00,0.00
309.90,491653.39,531.89,10000.00,0.00,0.00,0.00,0.00
310.00,491706.50,531.05,10000.00,0.00,0.00,0.00,0.00
310.10,491759.52,530.20,10000.00,0.00,0.00,0.00,0.00
310.20,491812.45,529.35,10000.00,0.00,0.00,0.00,0.00
310.30,491865.30,528.51,10000.00,0.00,0.00,0.00,0.00
310.40,491918.07,527.66,10000.00,0.00,0.00,0.00,0.00
310.50,491970.75,526.81,10000.00,0.00,0.00,0.00,0.00
310.60,492023.35,525.97,10000.00,0.00,0.00,0.00,0.00
310.70,492075.86,525.12,10000.00,0.00,0.00,0.00,0.00
310.80,492128.29,524.27,10000.00,0.00,0.00,0.00,0.00
310.90,492180.63,523.43,10000.00,0.00,0.00,0.00,0.00
311.00,492232.89,522.58,10000.00,0.00,0.00,0.00,0.00
311.10,492285.06,521.74,10000.00,0.00,0.00,0.00,0.00
311.20,492337.15,520.89,10000.00,0.00,0.00,0.00,0.00
311.30,492389.15,520.04,10000.00,0.00,0.00,0.00,0.00
311.40,492441.07,519.20,10000.00,0.00,0.00,0.00,0.00
311.50,492492.91,518.35,10000.00,0.00,0.00,0.00,0.00
311.60,492544.66,517.51,10000.00,0.00,0.00,0.00,0.00
311.70,492596.33,516.66,10000.00,0.00,0.00,0.00,0.00
311.80,492647.91,515.81,10000.00,0.00,0.00,0.00,0.00
311.90,492699.40,514.97,10000.00,0.00,0.00,0.00,0.00
312.00,492750.82,514.12,10000.00,0.00,0.00,0.00,0.00
312.10,492802.14,513.28,10000.00,0.00,0.00,0.00,0.00
312.20,492853.39,512.43,10000.00,0.00,0.00,0.00,0.00
312.30,492904.54,511.58,10000.00,0.00,0.00,0.00,0.00
312.40,492955.62,510.74,10000.00,0.00,0.00,0.00,0.00
312.50,493006.61,509.89,10000.00,0.00,0.00,0.00,0.00
312.60,493057.51,509.05,10000.00,0.00,0.00,0.00,0.00
312.70,493108.33,508.20,10000.00,0.00,0.00,0.00,0.00
312.80,493159.07,507.35,10000.00,0.00,0.00,0.00,0.00
312.90,493209.72,506.51,10000.00,0.00,0.00,0.00,0.00
313.00,493260.28,505.66,10000.00,0.00,0.00,0.00,0.00
313.10,493310.77,504.82,10000.00,0.00,0.00,0.00,0.00
313.20,493361.16,503.97,10000.00,0.00,0.00,0.00,0.00
313.30,493411.47,503.12,10000.00,0.00,0.00,0.00,0.00
313.40,493461.70,502.28,10000.00,0.00,0.00,0.00,0.00
313.50,493511.85,501.43,10000.00,0.00,0.00,0.00,0.00
313.60,493561.90,500.59,10000.00,0.00,0.00,0.00,0.00
313.70,493611.88,499.74,10000.00,0.00,0.00,0.00,0.00
313.80,493661.77,498.89,10000.00,0.00,0.00,0.00,0.00
313.90,493711.57,498.05,10000.00,0.00,0.00,0.00,0.00
314.00,493761.29,497.20,10000.00,0.00,0.00,0.00,0.00
314.10,493810.93,496.36,10000.00,0.00,0.00,0.00,0.00
314.20,493860.48,495.51,10000.00,0.00,0.00,0.00,0.00
314.30,493909.95,494.66,10000.00,0.00,0.00,0.00,0.00
314.40,493959.33,493.82,10000.00,0.00,0.00,0.00,0.00
314.50,494008.63,492.97,10000.00,0.00,0.00,0.00,0.00
314.60,494057.84,492.13,10000.00,0.00,0.00,0.00,0.00
314.70,494106.97,491.28,10000.00,0.00,0.00,0.00,0.00
314.80,494156.01,490.44,10000.00,0.00,0.00,0.00,0.00
314.90,494204.97,489.59,10000.00,0.00,0.00,0.00,0.00
315.00,494253.84,488.74,10000.00,0.00,0.00,0.00,0.00
315.10,494302.63,487.90,10000.00,0.00,0.00,0.00,0.00
315.20,494351.34,487.05,10000.00,0.00,0.00,0.00,0.00
315.30,494399.96,486.21,10000.00,0.00,0.00,0.00,0.00
315.40,494448.50,485.36,10000.00,0.00,0.00,0.00,0.00
315.50,494496.95,484.52,10000.00,0.00,0.00,0.00,0.00
315.60,494545.31,483.67,10000.00,0.00,0.00,0.00,0.00
315.70,494593.60,482.83,10000.00,0.00,0.00,0.00,0.00
315.80,494641.79,481.98,10000.00,0.00,0.00,0.00,0.00
315.90,494689.91,481.13,10000.00,0.00,0.00,0.00,0.00
316.00,494737.94,480.29,10000.00,0.00,0.00,0.00,0.00
316.10,494785.88,479.44,10000.00,0.00,0.00,0.00,0.00
316.20,494833.74,478.60,10000.00,0.00,0.00,0.00,0.00
316.30,494881.52,477.75,10000.00,0.00,0.00,0.00,0.00
316.40,494929.21,476.91,10000.00,0.00,0.00,0.00,0.00
316.50,494976.81,476.06,10000.00,0.00,0.00,0.00,0.00
316.60,495024.33,475.22,10000.00,0.00,0.00,0.00,0.00
316.70,495071.77,474.37,10000.00,0.00,0.00,0.00,0.00
316.80,495119.12,473.52,10000.00,0.00,0.00,0.00,0.00
316.90,495166.39,472.68,10000.00,0.00,0.00,0.00,0.00
317.00,495213.57,471.83,10000.00,0.00,0.00,0.00,0.00
317.10,495260.67,470.99,10000.00,0.00,0.00,0.00,0.00
317.20,495307.69,470.14,10000.00,0.00,0.00,0.00,0.00
317.30,495354.62,469.30,10000.00,0.00,0.00,0.00,0.00
317.40,495401.46,468.45,10000.00,0.00,0.00,0.00,0.00
317.50,495448.22,467.61,10000.00,0.00,0.00,0.00,0.00
317.60,495494.90,466.76,10000.00,0.00,0.00,0.00,0.00
317.70,495541.49,465.92,10000.00,0.00,0.00,0.00,0.00
317.80,495588.00,465.07,10000.00,0.00,0.00,0.00,0.00
317.90,495634.42,464.22,10000.00,0.00,0.00,0.00,0.00
318.00,495680.76,463.38,10000.00,0.00,0.00,0.00,0.00
318.10,495727.01,462.53,10000.00,0.00,0.00,0.00,0.00
318.20,495773.18,461.69,10000.00,0.00,0.00,0.00,0.00
318.30,495819.26,460.84,10000.00,0.00,0.00,0.00,0.00
318.40,495865.26,460.00,10000.00,0.00,0.00,0.00,0.00
318.50,495911.18,459.15,10000.00,0.00,0.00,0.00,0.00
318.60,495957.01,458.31,10000.00,0.00,0.00,0.00,0.00
318.70,496002.76,457.46,10000.00,0.00,0.00,0.00,0.00
318.80,496048.42,456.62,10000.00,0.00,0.00,0.00,0.00
318.90,496094.00,455.77,10000.00,0.00,0.00,0.00,0.00
319.00,496139.49,454.93,10000.00,0.00,0.00,0.00,0.00
319.10,496184.90,454.08,10000.00,0.00,0.00,0.00,0.00
319.20,496230.22,453.24,10000.00,0.00,0.00,0.00,0.00
319.30,496275.46,452.39,10000.00,0.00,0.00,0.00,0.00
319.40,496320.61,451.55,10000.00,0.00,0.00,0.00,0.00
319.50,496365.68,450.70,10000.00,0.00,0.00,0.00,0.00
319.60,496410.67,449.86,10000.00,0.00,0.00,0.00,0.00
319.70,496455.57,449.01,10000.00,0.00,0.00,0.00,0.00
319.80,496500.39,448.16,10000.00,0.00,0.00,0.00,0.00
319.90,496545.12,447.32,10000.00,0.00,0.00,0.00,0.00
320.00,496589.77,446.47,10000.00,0.00,0.00,0.00,0.00
320.10,496634.33,445.63,10000.00,0.00,0.00,0.00,0.00
320.20,496678.81,444.78,10000.00,0.00,0.00,0.00,0.00
320.30,496723.20,443.94,10000.00,0.00,0.00,0.00,0.00
320.40,496767.51,443.09,10000.00,0.00,0.00,0.00,0.00
320.50,496811.74,442.25,10000.00,0.00,0.00,0.00,0.00
320.60,496855.88,441.40,10000.00,0.00,0.00,0.00,0.00
320.70,496899.93,440.56,10000.00,0.00,0.00,0.00,0.00
320.80,496943.90,439.71,10000.00,0.00,0.00,0.00,0.00
320.90,496987.79,438.87,10000.00,0.00,0.00,0.00,0.00
321.00,497031.59,438.02,10000.00,0.00,0.00,0.00,0.00
321.10,497075.31,437.18,10000.00,0.00,0.00,0.00,0.00
321.20,497118.94,436.33,10000.00,0.00,0.00,0.00,0.00
321.30,497162.49,435.49,10000.00,0.00,0.00,0.00,0.00
321.40,497205.96,434.64,10000.00,0.00,0.00,0.00,0.00
321.50,497249.34,433.80,10000.00,0.00,0.00,0.00,0.00
321.60,497292.63,432.95,10000.00,0.00,0.00,0.00,0.00
321.70,497335.84,432.11,10000.00,0.00,0.00,0.00,0.00
321.80,497378.97,431.26,10000.00,0.00,0.00,0.00,0.00
321.90,497422.01,430.42,10000.00,0.00,0.00,0.00,0.00
322.00,497464.97,429.57,10000.00,0.00,0.00,0.00,0.00
322.10,497507.84,428.73,10000.00,0.00,0.00,0.00,0.00
322.20,497550.63,427.88,10000.00,0.00,0.00,0.00,0.00
322.30,497593.33,427.04,10000.00,0.00,0.00,0.00,0.00
